"subjects"	"cluster.id"
"128"	"subject128"	2
"129"	"subject129"	3
"130"	"subject130"	5
"131"	"subject131"	3
"132"	"subject132"	5
"133"	"subject133"	3
"134"	"subject134"	4
"135"	"subject135"	5
"136"	"subject136"	2
"137"	"subject137"	2
"138"	"subject138"	5
"139"	"subject139"	1
"140"	"subject140"	4
"141"	"subject141"	4
"142"	"subject142"	3
"143"	"subject143"	1
"144"	"subject144"	1
"145"	"subject145"	2
"146"	"subject146"	3
"147"	"subject147"	1
"148"	"subject148"	4
"149"	"subject149"	1
"150"	"subject150"	5
"151"	"subject151"	5
"152"	"subject152"	3
"153"	"subject153"	4
"154"	"subject154"	3
"155"	"subject155"	2
"156"	"subject156"	4
"157"	"subject157"	1
"158"	"subject158"	5
"159"	"subject159"	2
"160"	"subject160"	4
"161"	"subject161"	3
"162"	"subject162"	2
"163"	"subject163"	4
"164"	"subject164"	4
"165"	"subject165"	4
"166"	"subject166"	4
"167"	"subject167"	5
"168"	"subject168"	3
"169"	"subject169"	3
"170"	"subject170"	2
"171"	"subject171"	1
"172"	"subject172"	5
"173"	"subject173"	2
"174"	"subject174"	1
"175"	"subject175"	3
"176"	"subject176"	5
"177"	"subject177"	4
"178"	"subject178"	4
"179"	"subject179"	3
"180"	"subject180"	3
"181"	"subject181"	1
"182"	"subject182"	4
"183"	"subject183"	2
"184"	"subject184"	1
"185"	"subject185"	5
"186"	"subject186"	3
"187"	"subject187"	3
"188"	"subject188"	1
"189"	"subject189"	4
"190"	"subject190"	2
"191"	"subject191"	2
"192"	"subject192"	4
"193"	"subject193"	3
"194"	"subject194"	4
"195"	"subject195"	5
"196"	"subject196"	2
"197"	"subject197"	1
"198"	"subject198"	2
"199"	"subject199"	1
"200"	"subject200"	2
"201"	"subject201"	2
"202"	"subject202"	1
"203"	"subject203"	3
"204"	"subject204"	4
"205"	"subject205"	1
"206"	"subject206"	5
"207"	"subject207"	4
"208"	"subject208"	1
"209"	"subject209"	2
"210"	"subject210"	3
"211"	"subject211"	2
"212"	"subject212"	5
"213"	"subject213"	3
"214"	"subject214"	2
"215"	"subject215"	1
"216"	"subject216"	3
"217"	"subject217"	1
"218"	"subject218"	1
"219"	"subject219"	5
"220"	"subject220"	2
"221"	"subject221"	1
"222"	"subject222"	4
"223"	"subject223"	3
"224"	"subject224"	4
"225"	"subject225"	2
"226"	"subject226"	5
"227"	"subject227"	5
"228"	"subject228"	1
"229"	"subject229"	3
"230"	"subject230"	5
"231"	"subject231"	3
"232"	"subject232"	4
"233"	"subject233"	1
"234"	"subject234"	3
"235"	"subject235"	2
"236"	"subject236"	2
"237"	"subject237"	4
"238"	"subject238"	5
"239"	"subject239"	2
"240"	"subject240"	2
"241"	"subject241"	1
"242"	"subject242"	3
"243"	"subject243"	5
"244"	"subject244"	5
"245"	"subject245"	2
"246"	"subject246"	5
"247"	"subject247"	5
"248"	"subject248"	2
"249"	"subject249"	2
"250"	"subject250"	4
"251"	"subject251"	3
"252"	"subject252"	1
"253"	"subject253"	1
"254"	"subject254"	4
"255"	"subject255"	5
"256"	"subject256"	5
"257"	"subject257"	3
"258"	"subject258"	5
"259"	"subject259"	2
"260"	"subject260"	4
"261"	"subject261"	2
"262"	"subject262"	3
"263"	"subject263"	1
"264"	"subject264"	2
"265"	"subject265"	4
"266"	"subject266"	1
"267"	"subject267"	3
"268"	"subject268"	2
"269"	"subject269"	3
"270"	"subject270"	3
"271"	"subject271"	5
"272"	"subject272"	5
"273"	"subject273"	5
"274"	"subject274"	4
"275"	"subject275"	2
"276"	"subject276"	4
"277"	"subject277"	4
"278"	"subject278"	1
"279"	"subject279"	4
"280"	"subject280"	3
"281"	"subject281"	5
"282"	"subject282"	3
"283"	"subject283"	2
"284"	"subject284"	3
"285"	"subject285"	4
"286"	"subject286"	3
"287"	"subject287"	4
"288"	"subject288"	3
"289"	"subject289"	5
"290"	"subject290"	2
"291"	"subject291"	1
"292"	"subject292"	2
"293"	"subject293"	1
"294"	"subject294"	3
"295"	"subject295"	4
"296"	"subject296"	4
"297"	"subject297"	2
"298"	"subject298"	1
"299"	"subject299"	3
"300"	"subject300"	4
"301"	"subject301"	3
"302"	"subject302"	1
"303"	"subject303"	2
"304"	"subject304"	2
"305"	"subject305"	2
"306"	"subject306"	3
"307"	"subject307"	5
"308"	"subject308"	5
"309"	"subject309"	3
"310"	"subject310"	3
"311"	"subject311"	2
"312"	"subject312"	1
"313"	"subject313"	5
"314"	"subject314"	1
"315"	"subject315"	3
"316"	"subject316"	5
"317"	"subject317"	1
"318"	"subject318"	5
"319"	"subject319"	3
"320"	"subject320"	5
"321"	"subject321"	5
"322"	"subject322"	3
"323"	"subject323"	1
"324"	"subject324"	4
"325"	"subject325"	3
"326"	"subject326"	3
"327"	"subject327"	3
"328"	"subject328"	4
"329"	"subject329"	3
"330"	"subject330"	3
"331"	"subject331"	2
"332"	"subject332"	4
"333"	"subject333"	1
"334"	"subject334"	4
"335"	"subject335"	2
"336"	"subject336"	1
"337"	"subject337"	2
"338"	"subject338"	5
"339"	"subject339"	4
"340"	"subject340"	3
"341"	"subject341"	1
"342"	"subject342"	2
"343"	"subject343"	1
"344"	"subject344"	2
"345"	"subject345"	2
"346"	"subject346"	3
"347"	"subject347"	1
"348"	"subject348"	3
"349"	"subject349"	1
"350"	"subject350"	4
"351"	"subject351"	2
"352"	"subject352"	1
"353"	"subject353"	1
"354"	"subject354"	1
"355"	"subject355"	1
"356"	"subject356"	5
"357"	"subject357"	4
"358"	"subject358"	3
"359"	"subject359"	2
"360"	"subject360"	3
"361"	"subject361"	2
"362"	"subject362"	2
"363"	"subject363"	1
"364"	"subject364"	2
"365"	"subject365"	1
"366"	"subject366"	3
"367"	"subject367"	2
"368"	"subject368"	1
"369"	"subject369"	1
"370"	"subject370"	5
"371"	"subject371"	3
"372"	"subject372"	1
"373"	"subject373"	4
"374"	"subject374"	3
"375"	"subject375"	2
"376"	"subject376"	1
"377"	"subject377"	4
"378"	"subject378"	2
"379"	"subject379"	2
"380"	"subject380"	1
"381"	"subject381"	5
"382"	"subject382"	3
"383"	"subject383"	2
"384"	"subject384"	3
"385"	"subject385"	3
"386"	"subject386"	5
"387"	"subject387"	2
"388"	"subject388"	4
"389"	"subject389"	5
"390"	"subject390"	5
"391"	"subject391"	5
"392"	"subject392"	3
"393"	"subject393"	3
"394"	"subject394"	3
"395"	"subject395"	1
"396"	"subject396"	2
"397"	"subject397"	4
"398"	"subject398"	1
"399"	"subject399"	3
"400"	"subject400"	5
"401"	"subject401"	2
"402"	"subject402"	5
"403"	"subject403"	1
"404"	"subject404"	1
"405"	"subject405"	3
"406"	"subject406"	2
"407"	"subject407"	2
"408"	"subject408"	5
"409"	"subject409"	2
"410"	"subject410"	2
"411"	"subject411"	1
"412"	"subject412"	5
"413"	"subject413"	1
"414"	"subject414"	3
"415"	"subject415"	3
"416"	"subject416"	2
"417"	"subject417"	4
"418"	"subject418"	4
"419"	"subject419"	4
"420"	"subject420"	2
"421"	"subject421"	1
"422"	"subject422"	4
"423"	"subject423"	2
"424"	"subject424"	2
"425"	"subject425"	3
"426"	"subject426"	4
"427"	"subject427"	5
"428"	"subject428"	4
"429"	"subject429"	1
"430"	"subject430"	3
"431"	"subject431"	4
"432"	"subject432"	1
"433"	"subject433"	1
"434"	"subject434"	1
"435"	"subject435"	2
"436"	"subject436"	3
"437"	"subject437"	5
"438"	"subject438"	3
"439"	"subject439"	2
"440"	"subject440"	5
"441"	"subject441"	3
"442"	"subject442"	3
"443"	"subject443"	3
"444"	"subject444"	3
"445"	"subject445"	4
"446"	"subject446"	1
"447"	"subject447"	3
"448"	"subject448"	5
"449"	"subject449"	3
"450"	"subject450"	1
"451"	"subject451"	2
"452"	"subject452"	4
"453"	"subject453"	3
"454"	"subject454"	1
"455"	"subject455"	4
"456"	"subject456"	5
"457"	"subject457"	3
"458"	"subject458"	4
"459"	"subject459"	3
"460"	"subject460"	5
"461"	"subject461"	3
"462"	"subject462"	4
"463"	"subject463"	1
"464"	"subject464"	2
"465"	"subject465"	5
"466"	"subject466"	4
"467"	"subject467"	5
"468"	"subject468"	1
"469"	"subject469"	4
"470"	"subject470"	5
"471"	"subject471"	4
"472"	"subject472"	3
"473"	"subject473"	3
"474"	"subject474"	4
"475"	"subject475"	1
"476"	"subject476"	1
"477"	"subject477"	2
"478"	"subject478"	4
"479"	"subject479"	1
"480"	"subject480"	2
"481"	"subject481"	1
"482"	"subject482"	4
"483"	"subject483"	3
"484"	"subject484"	5
"485"	"subject485"	2
"486"	"subject486"	5
"487"	"subject487"	4
"488"	"subject488"	1
"489"	"subject489"	1
"490"	"subject490"	1
"491"	"subject491"	1
"492"	"subject492"	1
"493"	"subject493"	2
"494"	"subject494"	4
"495"	"subject495"	5
"496"	"subject496"	5
"497"	"subject497"	3
"498"	"subject498"	2
"499"	"subject499"	3
"500"	"subject500"	4
"501"	"subject501"	1
"502"	"subject502"	1
"503"	"subject503"	1
"504"	"subject504"	1
"505"	"subject505"	3
"506"	"subject506"	1
"507"	"subject507"	4
"508"	"subject508"	5
"509"	"subject509"	2
"510"	"subject510"	1
"511"	"subject511"	3
"512"	"subject512"	2
"513"	"subject513"	1
"514"	"subject514"	4
"515"	"subject515"	5
"516"	"subject516"	1
"517"	"subject517"	4
"518"	"subject518"	2
"519"	"subject519"	4
"520"	"subject520"	5
"521"	"subject521"	5
"522"	"subject522"	1
"523"	"subject523"	2
"524"	"subject524"	5
"525"	"subject525"	1
"526"	"subject526"	3
"527"	"subject527"	5
"528"	"subject528"	1
"529"	"subject529"	1
"530"	"subject530"	5
"531"	"subject531"	2
"532"	"subject532"	5
"533"	"subject533"	5
"534"	"subject534"	4
"535"	"subject535"	4
"536"	"subject536"	5
"537"	"subject537"	3
"538"	"subject538"	4
"539"	"subject539"	1
"540"	"subject540"	2
"541"	"subject541"	3
"542"	"subject542"	2
"543"	"subject543"	4
"544"	"subject544"	2
"545"	"subject545"	4
"546"	"subject546"	1
"547"	"subject547"	2
"548"	"subject548"	4
"549"	"subject549"	1
"550"	"subject550"	2
"551"	"subject551"	2
"552"	"subject552"	3
"553"	"subject553"	1
"554"	"subject554"	2
"555"	"subject555"	4
"556"	"subject556"	4
"557"	"subject557"	1
"558"	"subject558"	3
"559"	"subject559"	2
"560"	"subject560"	4
"561"	"subject561"	3
"562"	"subject562"	1
"563"	"subject563"	3
"564"	"subject564"	3
"565"	"subject565"	1
"566"	"subject566"	4
"567"	"subject567"	3
"568"	"subject568"	1
"569"	"subject569"	2
"570"	"subject570"	1
"571"	"subject571"	4
"572"	"subject572"	4
"573"	"subject573"	2
"574"	"subject574"	1
"575"	"subject575"	2
"576"	"subject576"	3
"577"	"subject577"	3
"578"	"subject578"	4
"579"	"subject579"	3
"580"	"subject580"	4
"581"	"subject581"	5
"582"	"subject582"	4
"583"	"subject583"	5
"584"	"subject584"	5
"585"	"subject585"	1
"586"	"subject586"	5
"587"	"subject587"	1
"588"	"subject588"	5
"589"	"subject589"	5
"590"	"subject590"	1
"591"	"subject591"	4
"592"	"subject592"	4
"593"	"subject593"	4
"594"	"subject594"	5
"595"	"subject595"	5
"596"	"subject596"	2
"597"	"subject597"	1
"598"	"subject598"	1
"599"	"subject599"	1
"600"	"subject600"	4
"601"	"subject601"	5
"602"	"subject602"	3
"603"	"subject603"	2
"604"	"subject604"	5
"605"	"subject605"	3
"606"	"subject606"	3
"607"	"subject607"	1
"608"	"subject608"	4
"609"	"subject609"	2
"610"	"subject610"	3
"611"	"subject611"	1
"612"	"subject612"	2
"613"	"subject613"	5
"614"	"subject614"	1
"615"	"subject615"	4
"616"	"subject616"	3
"617"	"subject617"	4
"618"	"subject618"	5
"619"	"subject619"	5
"620"	"subject620"	4
"621"	"subject621"	1
"622"	"subject622"	1
"623"	"subject623"	4
"624"	"subject624"	3
"625"	"subject625"	1
"626"	"subject626"	1
"627"	"subject627"	2
"628"	"subject628"	3
"629"	"subject629"	1
"630"	"subject630"	5
"631"	"subject631"	4
"632"	"subject632"	1
"633"	"subject633"	4
"634"	"subject634"	5
"635"	"subject635"	5
"636"	"subject636"	3
"637"	"subject637"	1
"638"	"subject638"	2
"639"	"subject639"	4
"640"	"subject640"	1
"641"	"subject641"	2
"642"	"subject642"	2
"643"	"subject643"	4
"644"	"subject644"	3
"645"	"subject645"	1
"646"	"subject646"	4
"647"	"subject647"	1
"648"	"subject648"	5
"649"	"subject649"	4
"650"	"subject650"	3
"651"	"subject651"	4
"652"	"subject652"	1
"653"	"subject653"	2
"654"	"subject654"	4
"655"	"subject655"	1
"656"	"subject656"	3
"657"	"subject657"	1
"658"	"subject658"	4
"659"	"subject659"	5
"660"	"subject660"	1
"661"	"subject661"	5
"662"	"subject662"	3
"663"	"subject663"	1
"664"	"subject664"	1
"665"	"subject665"	4
"666"	"subject666"	5
"667"	"subject667"	3
"668"	"subject668"	2
"669"	"subject669"	1
"670"	"subject670"	1
"671"	"subject671"	5
"672"	"subject672"	1
"673"	"subject673"	1
"674"	"subject674"	5
"675"	"subject675"	1
"676"	"subject676"	4
"677"	"subject677"	1
"678"	"subject678"	5
"679"	"subject679"	2
"680"	"subject680"	3
"681"	"subject681"	1
"682"	"subject682"	5
"683"	"subject683"	1
"684"	"subject684"	5
"685"	"subject685"	2
"686"	"subject686"	2
"687"	"subject687"	1
"688"	"subject688"	2
"689"	"subject689"	2
"690"	"subject690"	2
"691"	"subject691"	5
"692"	"subject692"	4
"693"	"subject693"	5
"694"	"subject694"	1
"695"	"subject695"	1
"696"	"subject696"	1
"697"	"subject697"	3
"698"	"subject698"	5
"699"	"subject699"	1
"700"	"subject700"	3
"701"	"subject701"	4
"702"	"subject702"	1
"703"	"subject703"	3
"704"	"subject704"	2
"705"	"subject705"	4
"706"	"subject706"	3
"707"	"subject707"	1
"708"	"subject708"	5
"709"	"subject709"	5
"710"	"subject710"	3
"711"	"subject711"	2
"712"	"subject712"	4
"713"	"subject713"	1
"714"	"subject714"	4
"715"	"subject715"	5
"716"	"subject716"	4
"717"	"subject717"	2
"718"	"subject718"	1
"719"	"subject719"	1
"720"	"subject720"	1
"721"	"subject721"	5
"722"	"subject722"	4
"723"	"subject723"	4
"724"	"subject724"	2
"725"	"subject725"	4
"726"	"subject726"	5
"727"	"subject727"	3
"728"	"subject728"	3
"729"	"subject729"	2
"730"	"subject730"	1
"731"	"subject731"	3
"732"	"subject732"	2
"733"	"subject733"	1
"734"	"subject734"	4
"735"	"subject735"	4
"736"	"subject736"	1
"737"	"subject737"	1
"738"	"subject738"	2
"739"	"subject739"	5
"740"	"subject740"	4
"741"	"subject741"	1
"742"	"subject742"	4
"743"	"subject743"	1
"744"	"subject744"	5
"745"	"subject745"	1
"746"	"subject746"	5
"747"	"subject747"	1
"748"	"subject748"	5
"749"	"subject749"	2
"750"	"subject750"	5
"751"	"subject751"	1
"752"	"subject752"	1
"753"	"subject753"	3
"754"	"subject754"	2
"755"	"subject755"	3
"756"	"subject756"	4
"757"	"subject757"	5
"758"	"subject758"	1
"759"	"subject759"	2
"760"	"subject760"	4
"761"	"subject761"	2
"762"	"subject762"	5
"763"	"subject763"	1
"764"	"subject764"	1
"765"	"subject765"	3
"766"	"subject766"	1
"767"	"subject767"	2
"768"	"subject768"	3
"769"	"subject769"	5
"770"	"subject770"	3
"771"	"subject771"	1
"772"	"subject772"	3
"773"	"subject773"	2
"774"	"subject774"	1
"775"	"subject775"	5
"776"	"subject776"	1
"777"	"subject777"	5
"778"	"subject778"	2
"779"	"subject779"	4
"780"	"subject780"	4
"781"	"subject781"	1
"782"	"subject782"	1
"783"	"subject783"	1
"784"	"subject784"	2
"785"	"subject785"	4
"786"	"subject786"	1
"787"	"subject787"	1
"788"	"subject788"	1
"789"	"subject789"	4
"790"	"subject790"	4
"791"	"subject791"	1
"792"	"subject792"	4
"793"	"subject793"	2
"794"	"subject794"	1
"795"	"subject795"	1
"796"	"subject796"	3
"797"	"subject797"	1
"798"	"subject798"	4
"799"	"subject799"	3
"800"	"subject800"	4
"801"	"subject801"	1
"802"	"subject802"	5
"803"	"subject803"	4
"804"	"subject804"	5
"805"	"subject805"	5
"806"	"subject806"	1
"807"	"subject807"	3
"808"	"subject808"	2
"809"	"subject809"	1
"810"	"subject810"	1
"811"	"subject811"	3
"812"	"subject812"	3
"813"	"subject813"	1
"814"	"subject814"	3
"815"	"subject815"	3
"816"	"subject816"	2
"817"	"subject817"	1
"818"	"subject818"	1
"819"	"subject819"	4
"820"	"subject820"	1
"821"	"subject821"	1
"822"	"subject822"	3
"823"	"subject823"	3
"824"	"subject824"	3
"825"	"subject825"	4
"826"	"subject826"	3
"827"	"subject827"	2
"828"	"subject828"	2
"829"	"subject829"	4
"830"	"subject830"	4
"831"	"subject831"	4
"832"	"subject832"	3
"833"	"subject833"	5
"834"	"subject834"	5
"835"	"subject835"	2
"836"	"subject836"	3
"837"	"subject837"	2
"838"	"subject838"	4
"839"	"subject839"	1
"840"	"subject840"	3
"841"	"subject841"	3
"842"	"subject842"	1
"843"	"subject843"	3
"844"	"subject844"	2
"845"	"subject845"	2
"846"	"subject846"	5
"847"	"subject847"	5
"848"	"subject848"	4
"849"	"subject849"	2
"850"	"subject850"	1
"851"	"subject851"	3
"852"	"subject852"	5
"853"	"subject853"	4
"854"	"subject854"	2
"855"	"subject855"	1
"856"	"subject856"	1
"857"	"subject857"	1
"858"	"subject858"	2
"859"	"subject859"	1
"860"	"subject860"	2
"861"	"subject861"	2
"862"	"subject862"	2
"863"	"subject863"	4
"864"	"subject864"	2
"865"	"subject865"	3
"866"	"subject866"	3
"867"	"subject867"	2
"868"	"subject868"	3
"869"	"subject869"	3
"870"	"subject870"	5
"871"	"subject871"	4
"872"	"subject872"	1
"873"	"subject873"	1
"874"	"subject874"	5
"875"	"subject875"	2
"876"	"subject876"	1
"877"	"subject877"	4
"878"	"subject878"	2
"879"	"subject879"	1
"880"	"subject880"	2
"881"	"subject881"	2
"882"	"subject882"	1
"883"	"subject883"	1
"884"	"subject884"	1
"885"	"subject885"	1
"886"	"subject886"	2
"887"	"subject887"	2
"888"	"subject888"	1
"889"	"subject889"	2
"890"	"subject890"	3
"891"	"subject891"	1
"892"	"subject892"	4
"893"	"subject893"	3
"894"	"subject894"	4
"895"	"subject895"	5
"896"	"subject896"	5
"897"	"subject897"	4
"898"	"subject898"	4
"899"	"subject899"	2
"900"	"subject900"	4
"901"	"subject901"	1
"902"	"subject902"	1
"903"	"subject903"	4
"904"	"subject904"	1
"905"	"subject905"	2
"906"	"subject906"	3
"907"	"subject907"	1
"908"	"subject908"	5
"909"	"subject909"	3
"910"	"subject910"	1
"911"	"subject911"	1
"912"	"subject912"	2
"913"	"subject913"	4
"914"	"subject914"	4
"915"	"subject915"	2
"916"	"subject916"	4
"917"	"subject917"	5
"918"	"subject918"	2
"919"	"subject919"	1
"920"	"subject920"	3
"921"	"subject921"	1
"922"	"subject922"	2
"923"	"subject923"	3
"924"	"subject924"	5
"925"	"subject925"	3
"926"	"subject926"	2
"927"	"subject927"	3
"928"	"subject928"	1
"929"	"subject929"	4
"930"	"subject930"	5
"931"	"subject931"	3
"932"	"subject932"	5
"933"	"subject933"	1
"934"	"subject934"	4
"935"	"subject935"	1
"936"	"subject936"	2
"937"	"subject937"	1
"938"	"subject938"	1
"939"	"subject939"	3
"940"	"subject940"	1
"941"	"subject941"	1
"942"	"subject942"	1
"943"	"subject943"	1
"944"	"subject944"	5
"945"	"subject945"	1
"946"	"subject946"	5
"947"	"subject947"	5
"948"	"subject948"	1
"949"	"subject949"	5
"950"	"subject950"	5
"951"	"subject951"	1
"952"	"subject952"	2
"953"	"subject953"	4
"954"	"subject954"	3
"955"	"subject955"	1
"956"	"subject956"	2
"957"	"subject957"	2
"958"	"subject958"	2
"959"	"subject959"	5
"960"	"subject960"	4
"961"	"subject961"	3
"962"	"subject962"	4
"963"	"subject963"	4
"964"	"subject964"	2
"965"	"subject965"	2
"966"	"subject966"	3
"967"	"subject967"	2
"968"	"subject968"	2
"969"	"subject969"	2
"970"	"subject970"	1
"971"	"subject971"	5
"972"	"subject972"	3
"973"	"subject973"	1
"974"	"subject974"	1
"975"	"subject975"	2
"976"	"subject976"	5
"977"	"subject977"	5
"978"	"subject978"	1
"979"	"subject979"	2
"980"	"subject980"	4
"981"	"subject981"	4
"982"	"subject982"	1
"983"	"subject983"	2
"984"	"subject984"	4
"985"	"subject985"	1
"986"	"subject986"	5
"987"	"subject987"	3
"988"	"subject988"	2
"989"	"subject989"	2
"990"	"subject990"	4
"991"	"subject991"	2
"992"	"subject992"	4
"993"	"subject993"	1
"994"	"subject994"	1
"995"	"subject995"	2
"996"	"subject996"	5
"997"	"subject997"	2
"998"	"subject998"	1
"999"	"subject999"	2
"1000"	"subject1000"	1
"1001"	"subject1001"	5
"1002"	"subject1002"	1
"1003"	"subject1003"	4
"1004"	"subject1004"	1
"1005"	"subject1005"	5
"1006"	"subject1006"	2
"1007"	"subject1007"	4
"1008"	"subject1008"	1
"1009"	"subject1009"	2
"1010"	"subject1010"	4
"1011"	"subject1011"	3
"1012"	"subject1012"	4
"1013"	"subject1013"	2
"1014"	"subject1014"	4
"1015"	"subject1015"	1
"1016"	"subject1016"	4
"1017"	"subject1017"	4
"1018"	"subject1018"	5
"1019"	"subject1019"	4
"1020"	"subject1020"	4
"1021"	"subject1021"	5
"1022"	"subject1022"	4
"1023"	"subject1023"	1
"1024"	"subject1024"	1
"1025"	"subject1025"	5
"1026"	"subject1026"	2
"1027"	"subject1027"	5
"1028"	"subject1028"	1
"1029"	"subject1029"	5
"1030"	"subject1030"	1
"1031"	"subject1031"	5
"1032"	"subject1032"	2
"1033"	"subject1033"	1
"1034"	"subject1034"	4
"1035"	"subject1035"	2
"1036"	"subject1036"	1
"1037"	"subject1037"	3
"1038"	"subject1038"	5
"1039"	"subject1039"	4
"1040"	"subject1040"	1
"1041"	"subject1041"	4
"1042"	"subject1042"	2
"1043"	"subject1043"	4
"1044"	"subject1044"	4
"1045"	"subject1045"	5
"1046"	"subject1046"	5
"1047"	"subject1047"	4
"1048"	"subject1048"	2
"1049"	"subject1049"	1
"1050"	"subject1050"	1
"1051"	"subject1051"	4
"1052"	"subject1052"	4
"1053"	"subject1053"	4
"1054"	"subject1054"	3
"1055"	"subject1055"	5
"1056"	"subject1056"	2
"1057"	"subject1057"	3
"1058"	"subject1058"	3
"1059"	"subject1059"	3
"1060"	"subject1060"	5
"1061"	"subject1061"	1
"1062"	"subject1062"	1
"1063"	"subject1063"	4
"1064"	"subject1064"	4
"1065"	"subject1065"	4
"1066"	"subject1066"	4
"1067"	"subject1067"	5
"1068"	"subject1068"	1
"1069"	"subject1069"	3
"1070"	"subject1070"	1
"1071"	"subject1071"	5
"1072"	"subject1072"	4
"1073"	"subject1073"	1
"1074"	"subject1074"	4
"1075"	"subject1075"	2
"1076"	"subject1076"	4
"1077"	"subject1077"	1
"1078"	"subject1078"	5
"1079"	"subject1079"	2
"1080"	"subject1080"	1
"1081"	"subject1081"	1
"1082"	"subject1082"	4
"1083"	"subject1083"	3
"1084"	"subject1084"	2
"1085"	"subject1085"	2
"1086"	"subject1086"	4
"1087"	"subject1087"	1
"1088"	"subject1088"	3
"1089"	"subject1089"	1
"1090"	"subject1090"	1
"1091"	"subject1091"	3
"1092"	"subject1092"	1
"1093"	"subject1093"	5
"1094"	"subject1094"	4
"1095"	"subject1095"	2
"1096"	"subject1096"	1
"1097"	"subject1097"	3
"1098"	"subject1098"	4
"1099"	"subject1099"	4
"1100"	"subject1100"	3
"1101"	"subject1101"	3
"1102"	"subject1102"	4
"1103"	"subject1103"	2
"1104"	"subject1104"	4
"1105"	"subject1105"	3
"1106"	"subject1106"	5
"1107"	"subject1107"	5
"1108"	"subject1108"	1
"1109"	"subject1109"	4
"1110"	"subject1110"	1
"1111"	"subject1111"	1
"1112"	"subject1112"	5
"1113"	"subject1113"	5
"1114"	"subject1114"	3
"1115"	"subject1115"	2
"1116"	"subject1116"	4
"1117"	"subject1117"	5
"1118"	"subject1118"	2
"1119"	"subject1119"	4
"1120"	"subject1120"	1
"1121"	"subject1121"	2
"1122"	"subject1122"	1
"1123"	"subject1123"	3
"1124"	"subject1124"	3
"1125"	"subject1125"	2
"1126"	"subject1126"	4
"1127"	"subject1127"	5
"1128"	"subject1128"	1
"1129"	"subject1129"	4
"1130"	"subject1130"	3
"1131"	"subject1131"	2
"1132"	"subject1132"	4
"1133"	"subject1133"	5
"1134"	"subject1134"	2
"1135"	"subject1135"	3
"1136"	"subject1136"	1
"1137"	"subject1137"	2
"1138"	"subject1138"	4
"1139"	"subject1139"	5
"1140"	"subject1140"	1
